Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",23/05/2022 04:00:00 PM,,,,0.02,,3.14,1.28,8.77,6.61,,,,,,17,26,,23 May 2022,16:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 04:00:00 PM,,,,0.013,,5.98,2.23,6.85,5.44,,,,,,13,21,21,23 May 2022,16:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 04:00:00 PM,,,,0.021,,9.02,0,9.09,5.76,,,,,,18,23,,23 May 2022,16:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 05:00:00 PM,,0.017,0.018,0.015,0,8.39,1.7,6.99,5.33,0,0,17,23,23,13,21,23,23 May 2022,17:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 05:00:00 PM,0.002,0.023,0.026,0.023,0.55,2.62,3.85,8.66,6.55,6,1,23,32,35,17,26,32,23 May 2022,17:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 05:00:00 PM,0.001,0.024,0.026,0.024,0.15,0.36,4.43,8.94,5.56,1,1,24,33,37,17,22,33,23 May 2022,17:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 06:00:00 PM,0.004,0.021,0.024,0.024,0.54,2.59,13.85,8.52,6.68,6,3,21,30,37,17,26,30,23 May 2022,18:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 06:00:00 PM,0.01,0.014,0.022,0.024,0.16,1.84,5.28,8.05,5.51,1,9,14,28,37,16,22,28,23 May 2022,18:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 06:00:00 PM,,0.013,0.016,0.016,0,7.39,0,6.82,5.08,0,0,13,21,25,13,20,21,23 May 2022,18:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 07:00:00 PM,,0.011,0.014,0.016,0,4.87,0.64,6.63,4.83,0,0,11,17,25,13,19,19,23 May 2022,19:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 07:00:00 PM,0.003,0.021,0.022,0.024,0.53,1.51,8.2,8.27,6.54,5,2,21,27,38,16,26,27,23 May 2022,19:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 07:00:00 PM,0.017,0.006,0.015,0.021,0.18,12.99,11.3,7.68,5.75,2,14,6,19,33,15,23,23,23 May 2022,19:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 08:00:00 PM,0.003,0.02,0.021,0.024,0.53,2.38,5.74,7.84,6.34,5,3,20,27,37,15,25,27,23 May 2022,20:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 08:00:00 PM,,0.006,0.012,0.015,0,7.62,1.46,6.52,4.68,0,0,6,15,23,13,18,18,23 May 2022,20:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 08:00:00 PM,0.017,0.005,0.012,0.018,0.21,6.61,17.84,7.42,6.11,2,14,5,16,29,14,24,24,23 May 2022,20:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 09:00:00 PM,0.006,0.011,0.018,0.021,0.54,4.82,3.41,7.5,5.87,6,5,11,23,33,15,23,23,23 May 2022,21:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 09:00:00 PM,,0.007,0.009,0.013,0,9.39,2.99,6.59,4.56,0,0,7,12,21,13,18,18,23 May 2022,21:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 09:00:00 PM,0.011,0.009,0.009,0.016,0.23,14.62,16.62,7.11,6.14,2,9,9,11,25,14,24,24,23 May 2022,21:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 10:00:00 PM,0.015,0.002,0.006,0.013,0.27,16.54,7.77,7.36,6.01,3,12,2,7,20,14,24,24,23 May 2022,22:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 10:00:00 PM,,0.005,0.007,0.011,0,7.93,3.02,6.66,4.5,0,0,5,9,18,13,18,18,23 May 2022,22:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 10:00:00 PM,0.013,0.002,0.014,0.018,0.58,8.41,7.85,7.43,5.58,6,11,2,17,28,14,22,22,23 May 2022,22:00:00
Monash,"(-35.418302, 149.094018)",23/05/2022 11:00:00 PM,0.013,0.003,0.005,0.009,0.31,21.96,6.43,7.83,5.51,3,11,3,6,14,15,22,22,23 May 2022,23:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 11:00:00 PM,0.012,0.001,0.009,0.014,0.64,11.69,16.45,7.43,5.83,7,10,1,11,22,14,23,23,23 May 2022,23:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 11:00:00 PM,,0,0.005,0.008,0,8.57,3.06,6.71,4.49,0,0,0,6,13,13,17,17,23 May 2022,23:00:00
