Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",21/05/2022 12:00:00 AM,0.01,0.002,0.006,0.012,0.61,12.09,13.38,8.34,4.45,6,8,2,8,19,16,17,17,21 May 2022,0:00:00
Civic,"(-35.285307, 149.131579)",21/05/2022 12:00:00 AM,,0.007,0.006,0.008,0,7.52,3.2,7.67,6,0,0,7,8,13,15,24,24,21 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",21/05/2022 01:00:00 AM,0.009,0.001,0.003,0.01,0.65,12.12,19.66,7.94,5.17,7,7,1,3,15,15,20,20,21 May 2022,1:00:00
Civic,"(-35.285307, 149.131579)",21/05/2022 01:00:00 AM,,0.003,0.005,0.007,0,8.69,3.1,7.99,6.02,0,0,3,7,10,15,24,24,21 May 2022,1:00:00
Florey,"(-35.220606, 149.043539)",21/05/2022 02:00:00 AM,0.009,0.002,0.002,0.008,0.68,11.4,25.71,7.82,6.37,7,8,2,3,12,15,25,25,21 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",21/05/2022 02:00:00 AM,,0.004,0.005,0.006,0,10.91,1.89,8.22,5.86,0,0,4,6,9,16,23,23,21 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",21/05/2022 03:00:00 AM,,0.002,0.004,0.005,0,9.17,2.7,8.35,5.72,0,0,2,5,8,16,22,22,21 May 2022,3:00:00
Florey,"(-35.220606, 149.043539)",21/05/2022 03:00:00 AM,0.006,0.002,0.002,0.006,0.72,17.27,9.08,8.15,6.55,8,5,2,3,9,16,26,26,21 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",21/05/2022 04:00:00 AM,,0,0.003,0.004,0,8.52,3.59,8.37,5.66,0,0,0,3,7,16,22,22,21 May 2022,4:00:00
Florey,"(-35.220606, 149.043539)",21/05/2022 04:00:00 AM,0.004,0.002,0.002,0.004,0.76,15.61,5.64,8.46,6.76,8,4,2,3,6,16,27,27,21 May 2022,4:00:00
Civic,"(-35.285307, 149.131579)",21/05/2022 05:00:00 AM,,0,0.002,0.003,0,7.48,3.92,8.37,5.65,0,0,0,2,6,16,22,22,21 May 2022,5:00:00
