Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Civic,"(-35.285307, 149.131579)",20/05/2022 12:00:00 AM,,0.01,0.006,0.004,0,2.97,4.89,8.49,6.7,0,0,10,8,6,16,26,26,20 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 12:00:00 AM,0.004,0.015,0.005,0.005,0.97,32.48,9.64,12.53,9.64,10,3,15,7,9,25,38,38,20 May 2022,0:00:00
Monash,"(-35.418302, 149.094018)",20/05/2022 12:00:00 AM,0.004,0.014,0.015,0.012,0.13,11.06,9.07,9.93,9.34,1,3,14,19,19,19,37,37,20 May 2022,0:00:00
Civic,"(-35.285307, 149.131579)",20/05/2022 01:00:00 AM,,0.01,0.009,0.005,0,1.04,2.49,8.46,6.7,0,0,10,11,7,16,26,26,20 May 2022,1:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 01:00:00 AM,0.002,0.013,0.008,0.005,0.97,21.6,2.39,13.06,9.56,10,2,13,10,8,26,38,38,20 May 2022,1:00:00
Monash,"(-35.418302, 149.094018)",20/05/2022 01:00:00 AM,0.004,0.01,0.012,0.011,0.14,23.28,14.21,9.88,8.95,1,3,10,15,17,19,35,35,20 May 2022,1:00:00
Monash,"(-35.418302, 149.094018)",20/05/2022 02:00:00 AM,0.003,0.009,0.01,0.012,0.13,21.21,21.57,10.17,8.67,1,2,9,13,18,20,34,34,20 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",20/05/2022 02:00:00 AM,,0.009,0.009,0.006,0,5.19,5.75,8.44,6.89,0,0,9,12,9,16,27,27,20 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 02:00:00 AM,0.003,0.012,0.011,0.006,0.94,14.34,0,13.34,9.23,10,2,12,13,10,26,36,36,20 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 03:00:00 AM,0.001,0.012,0.013,0.008,0.88,9.49,4.59,13.4,9.26,9,1,12,16,12,26,37,37,20 May 2022,3:00:00
Monash,"(-35.418302, 149.094018)",20/05/2022 03:00:00 AM,0.003,0.008,0.01,0.013,0.11,13.37,9.49,10.06,8.13,1,3,8,13,20,20,32,32,20 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",20/05/2022 03:00:00 AM,,0.011,0.01,0.007,0,6.05,6.01,8.37,6.99,0,0,11,13,11,16,27,27,20 May 2022,3:00:00
Monash,"(-35.418302, 149.094018)",20/05/2022 04:00:00 AM,0.001,0.013,0.01,0.012,0.1,5.39,6.11,9.74,7.49,1,1,13,13,19,19,29,29,20 May 2022,4:00:00
Civic,"(-35.285307, 149.131579)",20/05/2022 04:00:00 AM,,0.009,0.01,0.008,0,8.08,5.05,8.38,7.08,0,0,9,12,13,16,28,28,20 May 2022,4:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 04:00:00 AM,0.002,0.011,0.012,0.009,0.8,8.13,0.66,13.42,9.15,8,2,11,15,14,26,36,36,20 May 2022,4:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 05:00:00 AM,0.001,0.007,0.01,0.009,0.7,7.72,3.54,13.46,9.19,7,1,7,13,15,26,36,36,20 May 2022,5:00:00
Monash,"(-35.418302, 149.094018)",20/05/2022 05:00:00 AM,0.002,0.012,0.011,0.011,0.1,10.26,3.41,9.56,7.21,1,2,12,13,18,19,28,28,20 May 2022,5:00:00
Civic,"(-35.285307, 149.131579)",20/05/2022 05:00:00 AM,,0.008,0.009,0.009,0,7.49,4.24,8.35,7.05,0,0,8,12,14,16,28,28,20 May 2022,5:00:00
Florey,"(-35.220606, 149.043539)",20/05/2022 06:00:00 AM,0.001,0.01,0.01,0.01,0.59,7.21,0.98,13.51,9.08,6,1,10,13,16,27,36,36,20 May 2022,6:00:00
Civic,"(-35.285307, 149.131579)",20/05/2022 06:00:00 AM,,0.004,0.008,0.009,0,8.29,4.44,8.38,7,0,0,4,10,14,16,28,28,20 May 2022,6:00:00
