Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Civic,"(-35.285307, 149.131579)",25/05/2022 12:00:00 AM,,0.001,0,0.003,0,9.67,6.44,7.87,3.61,0,0,1,1,5,15,14,15,25 May 2022,0:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 12:00:00 AM,0.009,0.002,0.002,0.005,0.39,17.42,17.97,10.62,7.69,4,8,2,3,8,21,30,30,25 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 12:00:00 AM,0.009,0.002,0.001,0.009,0.74,19.85,16.36,10.38,7.62,8,8,2,2,14,20,30,30,25 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 01:00:00 AM,0.007,0.001,0.001,0.006,0.81,21.77,19.04,10.54,7.75,9,6,1,2,9,21,31,31,25 May 2022,1:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 01:00:00 AM,,0.001,0.001,0.002,0,9.16,4.56,7.92,3.66,0,0,1,1,3,15,14,15,25 May 2022,1:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 01:00:00 AM,0.006,0.003,0.002,0.003,0.41,19.95,7.76,10.54,7.26,4,5,3,3,5,21,29,29,25 May 2022,1:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 02:00:00 AM,0.005,0.002,0.002,0.002,0.42,14.57,1.25,10.16,6.67,4,4,2,3,4,20,26,26,25 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 02:00:00 AM,,0.003,0.001,0.001,0,5.5,1.24,7.83,3.52,0,0,3,2,2,15,14,15,25 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 02:00:00 AM,0.005,0.001,0.001,0.004,0.87,22.89,13.18,10.73,7.84,9,4,1,2,6,21,31,31,25 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 03:00:00 AM,0.004,0.001,0.001,0.002,0.92,21.24,13.46,10.86,7.77,10,3,1,2,3,21,31,31,25 May 2022,3:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 03:00:00 AM,0.006,0.001,0.002,0.002,0.45,9.42,1.81,9.57,5.57,5,5,1,3,4,19,22,22,25 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 03:00:00 AM,,0.002,0.002,0.001,0,5.7,1.59,7.79,3.46,0,0,2,2,2,15,13,15,25 May 2022,3:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 04:00:00 AM,0.004,0.001,0.001,0.001,0.93,17.81,11.34,10.86,7.68,10,3,1,2,2,21,30,30,25 May 2022,4:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 04:00:00 AM,,0.001,0.002,0.001,0,5.39,2.54,7.75,3.45,0,0,1,2,2,15,13,15,25 May 2022,4:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 04:00:00 AM,0.005,0.001,0.002,0.002,0.49,19.51,6.93,9.73,4.65,5,4,1,2,3,19,18,19,25 May 2022,4:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 05:00:00 AM,,0.001,0.002,0.001,0,2.62,3.04,7.73,3.44,0,0,1,2,2,15,13,15,25 May 2022,5:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 05:00:00 AM,0.004,0,0.001,0.002,0.52,12.6,7.96,9.59,4.47,5,3,0,1,3,19,17,19,25 May 2022,5:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 05:00:00 AM,0.003,0.001,0.001,0.001,0.94,15.03,11.75,10.78,7.63,10,3,1,1,2,21,30,30,25 May 2022,5:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 06:00:00 AM,0.004,0.002,0.001,0.001,0.91,12.38,7.74,10.62,7.52,10,3,2,2,2,21,30,30,25 May 2022,6:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 06:00:00 AM,0.005,0,0.001,0.001,0.51,13.88,3.22,9.59,4.36,5,4,0,1,2,19,17,19,25 May 2022,6:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 06:00:00 AM,,0.002,0.001,0.001,0,8.41,3.09,7.94,3.45,0,0,2,2,2,15,13,15,25 May 2022,6:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 07:00:00 AM,,0,0.001,0.001,0,6.59,3.02,7.91,3.46,0,0,0,1,2,15,13,15,25 May 2022,7:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 07:00:00 AM,0.006,0,0,0.001,0.5,7.3,5.48,9.34,4.18,5,5,0,1,2,18,16,18,25 May 2022,7:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 07:00:00 AM,0.009,0.001,0.001,0.001,0.88,8.44,7.35,10.4,7.54,9,7,1,2,2,20,30,30,25 May 2022,7:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 08:00:00 AM,0.012,0.002,0.001,0.001,0.85,6.17,9.85,10.13,7.71,9,10,2,2,2,20,30,30,25 May 2022,8:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 08:00:00 AM,,0,0.001,0.001,0,4.42,3.55,7.93,3.53,0,0,0,1,2,15,14,15,25 May 2022,8:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 08:00:00 AM,0.006,0.001,0.001,0.001,0.49,12.1,9.75,9.43,4.03,5,5,1,1,2,18,16,18,25 May 2022,8:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 09:00:00 AM,0.009,0.006,0.003,0.002,0.78,5.33,10.41,10,8.07,8,7,6,3,3,20,32,32,25 May 2022,9:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 09:00:00 AM,0.007,0.003,0.001,0.001,0.49,7.82,3.93,9.58,4.21,5,6,3,2,2,19,16,19,25 May 2022,9:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 09:00:00 AM,,0.001,0.001,0.001,0,6.1,4.04,7.78,3.54,0,0,1,1,2,15,14,15,25 May 2022,9:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 10:00:00 AM,0.005,0.006,0.002,0.002,0.47,0,5.74,9.1,4.18,5,4,6,3,3,18,16,18,25 May 2022,10:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 10:00:00 AM,0.005,0.013,0.005,0.003,0.73,3.06,7.5,9.97,8.08,8,4,13,7,5,19,32,32,25 May 2022,10:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 11:00:00 AM,0.004,0.016,0.009,0.005,0.68,0.44,0,9.76,7.99,7,4,16,12,8,19,31,31,25 May 2022,11:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 11:00:00 AM,0.002,0.011,0.005,0.003,0.42,5.05,9.19,9.33,4.53,4,2,11,7,5,18,18,18,25 May 2022,11:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 11:00:00 AM,,0.007,0.003,0.002,0,,4.05,7.74,3.6,0,0,7,3,3,15,14,15,25 May 2022,11:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 10:00:00 AM,,0.003,0.001,0.001,0,4.83,3.73,7.77,3.59,0,0,3,1,2,15,14,15,25 May 2022,10:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 12:00:00 PM,0.005,0.019,0.013,0.007,0.65,0.55,0,9.55,8.07,7,4,19,17,12,19,32,32,25 May 2022,12:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 12:00:00 PM,0.001,0.018,0.009,0.005,0.35,1.98,0,9.1,4.49,3,1,18,12,8,18,17,18,25 May 2022,12:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 12:00:00 PM,,0.015,0.006,0.003,0,,4.8,7.79,3.62,0,0,15,8,6,15,14,15,25 May 2022,12:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 01:00:00 PM,0,0.023,0.015,0.008,0.3,0.05,0,9.1,4.22,3,0,23,18,12,18,16,23,25 May 2022,13:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 01:00:00 PM,,0.015,0.01,0.005,0,,3.68,7.97,3.61,0,0,15,12,8,15,14,15,25 May 2022,13:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 01:00:00 PM,0.001,0.025,0.018,0.01,0.62,3.06,0.96,9.41,8.27,6,1,25,23,16,18,33,33,25 May 2022,13:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 02:00:00 PM,0,0.024,0.019,0.011,0.25,0,0,9.15,4.2,2,0,24,24,17,18,16,24,25 May 2022,14:00:00
