Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",25/05/2022 02:00:00 PM,0,0.027,0.022,0.014,0.6,1.94,1.22,9.29,8.33,6,0,27,27,21,18,33,33,25 May 2022,14:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 03:00:00 PM,0.001,0.025,0.024,0.017,0.59,3.48,2.23,9.3,8.5,6,1,25,30,26,18,34,34,25 May 2022,15:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 02:00:00 PM,,0.017,0.013,0.007,0,,1.83,8.26,3.65,0,0,17,17,11,16,14,17,25 May 2022,14:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 03:00:00 PM,,0.016,0.016,0.009,0,,0.96,8.39,3.65,0,0,16,20,14,16,14,20,25 May 2022,15:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 03:00:00 PM,0.001,0.025,0.022,0.014,0.23,0,0,9.14,3.82,2,1,25,28,22,18,15,28,25 May 2022,15:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 04:00:00 PM,,,,0.016,,0.04,0,9.14,3.47,,,,,,18,13,,25 May 2022,16:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 04:00:00 PM,,,,0.019,,3.63,0,9.35,8.49,,,,,,18,33,,25 May 2022,16:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 05:00:00 PM,0.005,0.019,0.024,0.021,0.56,3.99,0,9.4,7.94,6,4,19,30,32,18,31,31,25 May 2022,17:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 05:00:00 PM,,0.009,0.014,0.012,0,6.35,1.88,8.18,3.78,0,0,9,18,18,16,15,18,25 May 2022,17:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 05:00:00 PM,0.009,0.013,0.021,0.017,0.22,4.16,0.86,9.23,3.37,2,7,13,26,27,18,13,26,25 May 2022,17:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 04:00:00 PM,,,,0.01,,1.79,1.61,8.09,3.71,,,,,,16,14,16,25 May 2022,16:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 06:00:00 PM,0.016,0.002,0.015,0.019,0.6,5.29,0,9.37,7.42,6,13,2,19,30,18,29,29,25 May 2022,18:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 06:00:00 PM,0.02,0.001,0.013,0.016,0.31,7.55,18.07,9.42,3.63,3,17,1,16,26,18,14,18,25 May 2022,18:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 06:00:00 PM,,0,0.008,0.011,0,11.47,4.22,8.18,3.85,0,0,0,10,17,16,15,16,25 May 2022,18:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 07:00:00 PM,0.016,0.001,0.008,0.017,0.66,9.22,12.68,9.46,7.68,7,14,1,10,26,18,30,30,25 May 2022,19:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 07:00:00 PM,0.018,0.001,0.005,0.015,0.4,20.74,12.62,9.93,3.88,4,15,1,6,23,19,15,19,25 May 2022,19:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 07:00:00 PM,,0,0.003,0.01,0,17.61,5.77,8.17,3.85,0,0,0,4,16,16,15,16,25 May 2022,19:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 08:00:00 PM,0.017,0.001,0.006,0.014,0.75,13.98,10.53,9.82,7.84,8,14,1,8,22,19,31,31,25 May 2022,20:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 08:00:00 PM,0.018,0.001,0.004,0.012,0.49,31.87,12.54,10.71,4.04,5,15,1,5,19,21,16,21,25 May 2022,20:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 08:00:00 PM,,0,0.002,0.008,0,7.91,6.95,7.74,3.85,0,0,0,3,13,15,15,15,25 May 2022,20:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 09:00:00 PM,,0,0,0.006,0,5.58,6.67,7.5,3.84,0,0,0,0,9,15,15,15,25 May 2022,21:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 09:00:00 PM,0.016,0.001,0.001,0.009,0.58,28.94,23.39,11.48,4.95,6,13,1,1,14,22,19,22,25 May 2022,21:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 09:00:00 PM,0.015,0.001,0.001,0.011,0.85,15.48,15.12,10.19,7.92,9,12,1,2,17,20,31,31,25 May 2022,21:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 10:00:00 PM,0.014,0.001,0.001,0.006,0.66,17.83,20.14,11.5,5.61,7,11,1,1,9,23,22,23,25 May 2022,22:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 10:00:00 PM,0.012,0.001,0.001,0.007,0.94,18.93,23.92,10.47,8.2,10,10,1,2,12,20,32,32,25 May 2022,22:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 10:00:00 PM,,0,0,0.003,0,8.31,5.07,7.32,3.8,0,0,0,0,6,14,15,15,25 May 2022,22:00:00
Florey,"(-35.220606, 149.043539)",25/05/2022 11:00:00 PM,0.009,0.002,0.001,0.004,1.06,24.99,26.82,10.79,8.5,11,8,2,2,6,21,34,34,25 May 2022,23:00:00
Monash,"(-35.418302, 149.094018)",25/05/2022 11:00:00 PM,0.011,0.001,0.001,0.003,0.75,25.77,16.17,11.44,5.99,8,9,1,1,4,22,23,23,25 May 2022,23:00:00
Civic,"(-35.285307, 149.131579)",25/05/2022 11:00:00 PM,,0,0,0.001,0,12.6,4.32,7.37,3.69,0,0,0,0,2,14,14,14,25 May 2022,23:00:00
