Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Monash,"(-35.418302, 149.094018)",22/05/2022 09:00:00 PM,0.016,0.003,0.01,0.016,0.19,22.06,15.91,11,7.03,2,13,3,13,26,22,28,28,22 May 2022,21:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 01:00:00 AM,0.01,0.001,0.002,0.004,0.39,14.58,11.83,10.94,7.9,4,9,1,3,7,21,31,31,22 May 2022,1:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 09:00:00 AM,0,0.011,0.009,0.007,0.2,0,0,10.6,8.45,2,0,11,12,12,21,33,33,22 May 2022,9:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 03:00:00 AM,0.002,0.007,0.004,0.003,0.42,17.33,15.44,11.75,9.47,4,2,7,5,5,23,37,37,22 May 2022,3:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 07:00:00 AM,0.001,0.008,0.008,0.006,0.29,3.22,3.59,11.71,9.44,3,1,8,10,9,23,37,37,22 May 2022,7:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 04:00:00 PM,,,,0.019,,1.33,1.54,10.26,7.81,,,,,,20,31,,22 May 2022,16:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 02:00:00 AM,0.008,0.001,0.002,0.003,0.43,25.11,26.45,11.42,8.88,4,7,1,3,5,22,35,35,22 May 2022,2:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 06:00:00 PM,0.004,0.02,0.023,0.021,0.14,23.29,6.54,10.58,7.3,1,4,20,29,33,21,29,29,22 May 2022,18:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 07:00:00 PM,0.009,0.013,0.018,0.021,0.14,21.87,5.45,10.73,6.95,1,8,13,23,32,21,27,27,22 May 2022,19:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 02:00:00 PM,0,0.025,0.02,0.015,0.12,2.98,0,10.53,7.74,1,0,25,25,24,21,30,30,22 May 2022,14:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 12:00:00 PM,0,0.017,0.014,0.011,0.13,9.6,2.69,10.54,7.95,1,0,17,18,18,21,31,31,22 May 2022,12:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 01:00:00 PM,0,0.021,0.017,0.013,0.12,4.66,0,10.62,7.78,1,0,21,21,20,21,31,31,22 May 2022,13:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 08:00:00 AM,0.001,0.009,0.008,0.006,0.27,4.65,5.97,11.33,9.09,3,0,9,10,10,22,36,36,22 May 2022,8:00:00
Monash,"(-35.418302, 149.094018)",22/05/2022 10:00:00 AM,0,0.013,0.011,0.009,0.15,8.04,3.57,10.48,8.01,1,0,13,13,14,20,32,32,22 May 2022,10:00:00
