Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Monash,"(-35.418302, 149.094018)",24/05/2022 12:00:00 AM,0.008,0.003,0.004,0.008,0.31,17.5,14.15,8.39,5.87,3,7,3,6,13,16,23,23,24 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",24/05/2022 12:00:00 AM,0.008,0.002,0.004,0.013,0.68,15.48,17.68,7.53,6.26,7,7,2,5,20,15,25,25,24 May 2022,0:00:00
Civic,"(-35.285307, 149.131579)",24/05/2022 12:00:00 AM,,0,0.003,0.007,0,8.02,3.53,6.76,4.5,0,0,0,4,12,13,18,18,24 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",24/05/2022 01:00:00 AM,0.006,0.001,0.002,0.01,0.74,17.89,16.01,7.68,6.56,8,5,1,2,16,15,26,26,24 May 2022,1:00:00
Monash,"(-35.418302, 149.094018)",24/05/2022 01:00:00 AM,0.008,0.001,0.003,0.006,0.37,21.9,18.17,8.93,6.3,4,7,1,3,9,17,25,25,24 May 2022,1:00:00
Civic,"(-35.285307, 149.131579)",24/05/2022 01:00:00 AM,,0,0.001,0.005,0,8,3.32,6.69,4.43,0,0,0,1,8,13,17,17,24 May 2022,1:00:00
Florey,"(-35.220606, 149.043539)",24/05/2022 02:00:00 AM,0.005,0.001,0.001,0.008,0.79,18.41,10.84,7.87,6.66,8,4,1,2,12,15,26,26,24 May 2022,2:00:00
Monash,"(-35.418302, 149.094018)",24/05/2022 02:00:00 AM,0.006,0.001,0.002,0.004,0.42,23.81,15.36,9.64,6.52,4,5,1,3,6,19,26,26,24 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",24/05/2022 02:00:00 AM,,0,0,0.004,0,7.74,4.75,6.63,4.26,0,0,0,0,6,13,17,17,24 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",24/05/2022 03:00:00 AM,0.003,0.001,0.001,0.005,0.84,18.21,15.16,8.17,6.95,9,3,1,2,8,16,27,27,24 May 2022,3:00:00
